name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
AKU Laboratory,clinic,clinic,,,,,,,,67.128014,25.016658,5069109837,
,doctors,doctors,,,,,,,,74.711345,36.275766,4029402246,
,hospital,hospital,,,,,,,,72.4137,32.938713,895554389,
Dr. Zahid Hussain,clinic,clinic,,,,,,,,74.323924,31.50319,5741578395,
D Watson Chemist,pharmacy,pharmacy,,,,,,,,74.320043,31.500671,4916640114,
Haleem Hospital,hospital,hospital,,,,,,,,67.050971,24.945886,5175883626,
Madina Chemis,pharmacy,pharmacy,,,,,,,,73.080217,31.446459,5259596740,
Qamarul Islam Hospital,hospital,hospital,,,,,,,,67.048782,24.82948,4790228471,
Noori,hospital,hospital,,,,,yes,,,,,233729463,
General Hospital 68 RB Kala,hospital,hospital,,,,,,,,,,391836869,
Habib Clinic,hospital,hospital,,,,,,,,74.128856,32.599204,3151345735,
Fauji Foundation Hospital,hospital,hospital,,,,,,,,72.710585,32.782463,4142193689,
Wali Bhai Rajputana Hospital,hospital,hospital,,,,,,,,68.348405,25.419195,5252216023,
Shadman Town Children Hospital,hospital,hospital,,,,,,,,67.060746,24.962821,5130890302,
RANA Pharmacy,pharmacy,pharmacy,,,,,,,,74.333056,31.541957,5331450184,
Gazdarabad hospital,hospital,hospital,,,,,,,,67.015522,24.869807,5119821477,
,hospital,hospital,,,,,,,,73.578486,32.435714,4368203390,
Cardiology Department,hospital,hospital,cardiology,,,,,,,74.26345,31.497446,5255424742,
Deen Memorial Pharmacy,pharmacy,pharmacy,,,,,,,,74.365222,32.699811,4865408823,
Chughtai Laboratory,clinic,clinic,,,,,,,,67.070131,24.813763,4770282107,
Aurangzeb Hospital,hospital,hospital,,,,,,,,67.207989,24.859171,4737814936,
Chotani Medical,pharmacy,pharmacy,,,,,,,,66.995888,24.857995,5162828838,
Al Shifa Clinic,clinic,clinic,,,,,,,,67.06825,24.844906,5961565766,
CMH Malir,hospital,hospital,,,,,yes,,,67.214321,24.949481,4344000389,
Ali Medical Store,pharmacy,pharmacy,,,,,,,,,,154909045,
Madani medical store,pharmacy,pharmacy,,,,,,,,69.020447,25.529475,5355902890,
Aga Hospital,hospital,hospital,,,,,,,,67.128776,25.022477,4741616553,
Geofman Pharmaceuticals,pharmacy,pharmacy,,,,,,,,67.113151,24.836799,4769659231,
South City Hospital,hospital,hospital,,,,,,,,67.022508,24.814304,5128455359,
Indus Hospital,hospital,hospital,,,,,,,,67.111537,24.817351,5128455355,
City Hospital,hospital,hospital,,,,,,,,74.346845,31.586867,5260103794,
Khizar Eye Clinic And Optic,clinic,clinic,,,,,,,,67.061831,24.823737,5132720039,
The Black Lion Hospital,hospital,hospital,,,,,,,,68.361462,25.383984,5285951858,
,doctors,doctors,,,,,,,,73.438588,36.563052,4021827271,
Pharmacy,pharmacy,pharmacy,,,,,,,,67.041209,30.202682,4346673836,
Nishtar Hospital,hospital,hospital,,,,,,,,71.443491,30.202639,1921954058,
Civil Hospital Jinnah Road,hospital,hospital,,,,,,,,,,653339745,
THQ Hospital,hospital,hospital,,,,,yes,,,72.433723,30.769497,2916948320,
Rabbani & Rabbani Dental Expressions,dentist,dentist,,,,,,,,,,545994886,
Dr. Ijaz clinic,clinic,clinic,orthopaedics,Dr. Ijaz,,,,,,,,686405876,
Syeda Khatoon-e-Jannat Hospital,hospital,hospital,,,,,,,,73.122987,31.381183,5263913115,
Zia uddin Hospital (OPD),hospital,hospital,,,,,,,,67.046914,24.924346,4319407286,
Afroz Medical Centre,clinic,clinic,,,,,,,,67.090697,24.924966,5128640416,
noori hospital Islamabad,hospital,hospital,,,,,,,,73.052962,33.699069,6265094288,
Kausar Medico,pharmacy,pharmacy,,,,,,,,67.043075,24.826746,4790222406,
Dr.A.Q Khan Hospital,hospital,hospital,,,,,,,,74.310506,31.597813,4912575644,
Dr. Suleman Jinji,clinic,clinic,,,,,,,,69.010442,25.530337,5338152503,
Civil Hospital,hospital,hospital,,,,,,,,71.475235,30.139765,4319151471,
Tariq Medical Store,pharmacy,pharmacy,,,,,,,,73.238435,33.366846,2642308771,
Tamoor Diagnostic Center,clinic,clinic,,,,,,,,73.107485,30.67105,4549299292,
,hospital,hospital,,Khair-un Nisa Hospital,,,,,,67.097241,24.929585,5130890311,
M I Room,hospital,hospital,,,,,,,,66.948508,24.880144,1428217511,
Australian Fertility Centre,doctors,doctors,,,,,,,,74.323505,31.497924,5128786721,
Al Ahmad medical store,pharmacy,pharmacy,,,,,,,,69.013755,25.518823,4959284326,
CMH,hospital,hospital,,,,,yes,,,73.049263,33.581641,255764767,
Noor Hospital,hospital,hospital,,,,,no,,,67.077717,24.947031,5130198885,
