id,product_name,company,pack_size,price_before_pkr,discount_percent,price_after_pkr,availability,text
drug-4601903a1c7b,Zeal,Maple,2x7's,78,10,78,Sold Out,Zeal is a pharmaceutical product marketed in Pakistan by Maple. It is sold in a pack size of 2x7's. Its retail price is Rs 78 after a 10% discount from the original price of Rs 78. Market availability: Sold Out.
drug-d433bb27b8ff,Zeboxil,Medicaids,10's,313,10,282,Sold Out,Zeboxil is a pharmaceutical product marketed in Pakistan by Medicaids. It is sold in a pack size of 10's. Its retail price is Rs 282 after a 10% discount from the original price of Rs 313. Market availability: Sold Out.
drug-b903c65c2800,Zeboxil,Medicaids,60ml,300,10,270,Sold Out,Zeboxil is a pharmaceutical product marketed in Pakistan by Medicaids. It is sold in a pack size of 60ml. Its retail price is Rs 270 after a 10% discount from the original price of Rs 300. Market availability: Sold Out.
drug-dcb5524aa1d6,Zeboxil,Medicaids,10ml,59,10,59,Sold Out,Zeboxil is a pharmaceutical product marketed in Pakistan by Medicaids. It is sold in a pack size of 10ml. Its retail price is Rs 59 after a 10% discount from the original price of Rs 59. Market availability: Sold Out.
drug-c963e480954e,Zeboxil,Medicaids,60ml,149,10,149,Sold Out,Zeboxil is a pharmaceutical product marketed in Pakistan by Medicaids. It is sold in a pack size of 60ml. Its retail price is Rs 149 after a 10% discount from the original price of Rs 149. Market availability: Sold Out.
drug-896e641b32de,Zebramid,Zeb,60s,190,10,171,Sold Out,Zebramid is a pharmaceutical product marketed in Pakistan by Zeb. It is sold in a pack size of 60s. Its retail price is Rs 171 after a 10% discount from the original price of Rs 190. Market availability: Sold Out.
drug-12b47d8df7a0,Zecef,Bosch,1 Vial,275,10,248,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 1 Vial. Its retail price is Rs 248 after a 10% discount from the original price of Rs 275. Market availability: Available.
drug-5724385e7974,Zecef,Bosch,1 Vial,170,10,153,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 1 Vial. Its retail price is Rs 153 after a 10% discount from the original price of Rs 170. Market availability: Available.
drug-bec7842f23c8,Zecef,Bosch,50ml,370,10,333,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 50ml. Its retail price is Rs 333 after a 10% discount from the original price of Rs 370. Market availability: Available.
drug-a1eca3974090,Zecef,Bosch,14's,661,10,595,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 14's. Its retail price is Rs 595 after a 10% discount from the original price of Rs 661. Market availability: Available.
drug-5c12b954fa74,Zecef,Bosch,14's,784,10,706,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 14's. Its retail price is Rs 706 after a 10% discount from the original price of Rs 784. Market availability: Available.
drug-410f4027c180,Zecef,Bosch,1 Vial,54,10,54,Available,Zecef is a pharmaceutical product marketed in Pakistan by Bosch. It is sold in a pack size of 1 Vial. Its retail price is Rs 54 after a 10% discount from the original price of Rs 54. Market availability: Available.
drug-1568d55473c2,Zeclorin,Bryon,10,270,10,243,Available,Zeclorin is a pharmaceutical product marketed in Pakistan by Bryon. It is sold in a pack size of 10. Its retail price is Rs 243 after a 10% discount from the original price of Rs 270. Market availability: Available.
drug-96bf6c725549,Zeclorin,Bryon,10,445,10,401,Available,Zeclorin is a pharmaceutical product marketed in Pakistan by Bryon. It is sold in a pack size of 10. Its retail price is Rs 401 after a 10% discount from the original price of Rs 445. Market availability: Available.
drug-df75a038c273,Zeclorin,Bryon,60ml,223,10,201,Available,Zeclorin is a pharmaceutical product marketed in Pakistan by Bryon. It is sold in a pack size of 60ml. Its retail price is Rs 201 after a 10% discount from the original price of Rs 223. Market availability: Available.
drug-2bd441aded78,Zedan 15mg,Surge,3x10's,161,10,145,Available,Zedan 15mg is a pharmaceutical product marketed in Pakistan by Surge. It is sold in a pack size of 3x10's. Its retail price is Rs 145 after a 10% discount from the original price of Rs 161. Market availability: Available.
